09/01/2024 02:43:38 PM - INFO - Winning numbers are ['10', '17', '20', '24', '54', '8']
09/01/2024 02:45:53 PM - INFO - 


|   Main1 |   Main2 |   Main3 |   Main4 |   Main5 |   MegaBall |
|--------:|--------:|--------:|--------:|--------:|-----------:|
|       2 |       4 |      13 |      25 |      46 |         11 |
|      12 |      20 |      34 |      49 |      70 |         17 |
|       2 |      16 |      28 |      51 |      67 |         23 |
|       6 |      15 |      32 |      40 |      42 |         19 |
|       8 |      14 |      21 |      47 |      52 |          2 |
|       3 |      24 |      31 |      59 |      69 |         12 |
|      22 |      26 |      61 |      66 |      68 |         15 |
|      18 |      33 |      47 |      60 |      64 |          9 |
|       1 |       6 |      27 |      29 |      45 |          5 |
|      12 |      39 |      64 |      69 |      70 |         10 |
|       5 |      15 |      25 |      34 |      55 |          6 |
|      26 |      47 |      49 |      59 |      60 |          4 |
|      13 |      41 |      42 |      65 |      67 |         17 |
|      19 |      31 |      40 |      43 |      47 |         22 |
|       1 |      13 |      36 |      60 |      67 |         25 |
|      14 |      18 |      52 |      61 |      66 |          2 |
|       9 |      19 |      30 |      32 |      35 |         19 |
|       5 |      14 |      56 |      58 |      60 |         21 |
|      10 |      11 |      35 |      48 |      64 |         21 |
|      20 |      25 |      33 |      37 |      39 |         23 |
|      10 |      22 |      50 |      63 |      65 |          9 |
|      23 |      26 |      33 |      35 |      46 |          1 |
|      12 |      16 |      17 |      37 |      41 |         14 |
|      20 |      22 |      35 |      57 |      70 |         22 |
|      19 |      31 |      34 |      53 |      59 |         12 |
|      18 |      33 |      46 |      53 |      59 |         19 |
|       2 |       4 |      20 |      27 |      52 |         13 |
|       1 |       5 |      13 |      35 |      61 |         23 |
|      19 |      28 |      29 |      44 |      68 |          6 |
|      21 |      23 |      39 |      49 |      53 |          3 |
|       5 |      16 |      18 |      29 |      35 |          7 |
|      20 |      50 |      60 |      67 |      68 |         19 |
|       5 |      23 |      25 |      51 |      56 |         18 |
|       2 |      14 |      43 |      50 |      53 |         10 |
|      11 |      26 |      30 |      34 |      67 |         25 |
|       7 |      12 |      16 |      42 |      64 |         16 |
|      24 |      27 |      36 |      46 |      57 |         14 |
|      24 |      28 |      32 |      38 |      67 |         18 |
|      16 |      24 |      51 |      60 |      64 |         15 |
|      45 |      48 |      62 |      64 |      68 |         11 |
|       5 |      27 |      37 |      53 |      64 |          3 |
|       1 |       8 |      17 |      29 |      64 |         20 |
|       5 |      24 |      31 |      32 |      63 |         20 |
|       4 |      10 |      28 |      31 |      70 |         18 |
|       7 |      15 |      23 |      28 |      64 |         18 |
|      11 |      35 |      42 |      47 |      52 |         16 |
|       2 |      17 |      51 |      60 |      68 |          6 |
|       1 |       5 |      35 |      48 |      51 |          6 |
|       2 |       5 |      53 |      67 |      70 |         25 |
|       9 |      12 |      41 |      44 |      59 |          8 |
|       2 |      42 |      56 |      57 |      63 |         14 |
|      11 |      21 |      48 |      50 |      70 |         13 |
|      11 |      23 |      25 |      37 |      51 |         21 |
|      17 |      23 |      32 |      33 |      63 |         18 |
|      26 |      31 |      34 |      36 |      46 |         11 |
|       3 |      30 |      34 |      66 |      67 |         13 |
