Main1,Main2,Main3,Main4,Main5,MegaBall
2,18,22,38,55,16
2,28,40,45,48,22
15,25,31,55,65,25
2,47,54,58,60,23
8,10,30,46,67,16
2,8,19,42,64,13
1,4,17,43,53,11
18,32,51,57,60,3
17,18,19,21,50,21
13,18,48,56,69,23
7,34,38,51,60,17
19,21,31,36,66,2
2,25,36,38,55,22
21,22,23,40,45,18
6,14,33,42,47,24
23,26,43,49,66,12
37,49,50,59,70,17
14,18,42,43,46,3
26,35,44,49,50,9
22,24,35,46,59,18
11,31,56,60,66,18
40,47,49,50,69,5
5,39,46,63,68,6
16,22,33,36,70,7
16,29,44,56,63,16
10,11,12,18,67,11
7,21,37,62,63,14
11,14,46,66,69,24
16,18,33,63,64,9
1,9,19,24,34,8
4,27,37,64,70,1
5,7,8,30,35,1
10,13,23,27,52,12
1,23,53,55,56,4
11,18,32,50,57,25
4,22,25,47,58,23
12,24,37,46,47,23
3,27,43,44,67,10
21,31,44,51,57,10
2,18,31,54,62,20
25,29,33,38,67,25
20,23,64,69,70,4
19,50,60,61,64,6
2,6,35,47,57,23
1,5,21,26,59,5
26,27,29,53,61,11
23,25,49,50,68,4
9,10,13,44,59,8
10,28,40,49,56,19
3,6,14,39,57,17
2,27,34,53,64,12
12,37,39,49,70,4
5,7,27,59,63,11
3,22,39,40,44,4
18,20,50,65,68,4
4,31,37,49,53,20
11,28,40,56,57,17
3,6,17,34,70,19
17,30,32,45,56,16
11,32,44,50,58,2
17,46,59,65,67,25
6,15,20,39,44,25
19,28,32,57,61,6
6,12,24,55,59,19
12,38,43,46,52,8
7,28,42,48,66,21
16,20,27,60,68,12
5,26,31,37,42,12
5,38,44,60,68,4
10,15,31,45,67,4
8,22,27,65,66,4
15,20,25,45,50,12
28,35,37,43,49,19
5,6,23,41,66,10
2,13,23,36,43,13
2,12,25,29,59,19
12,47,55,56,65,10
8,43,54,66,70,24
15,19,29,49,57,16
12,15,53,66,70,8
2,16,20,22,42,17
13,19,30,35,70,9
37,57,60,64,66,2
1,7,12,27,45,23
10,11,14,63,65,13
11,18,34,36,56,24
3,15,21,33,54,6
11,32,44,61,65,3
6,18,23,48,52,25
13,27,57,64,68,10
16,26,35,40,58,7
5,17,37,48,49,19
6,11,28,62,70,5
11,25,48,65,69,7
2,6,10,45,68,25
6,50,52,59,65,17
4,5,18,37,70,18
1,36,52,57,62,6
5,6,10,21,59,24
15,21,26,44,53,2
